    58	Manny
    34	Kimiya-HDZ
    20	tariqdaly2708
     9	JK76761
     7	Tejasri303
     2	vromanuel
e7cb7da was Manny, 5 hours ago, message: connected pages
fd37cd5 was Tejasri303, 5 weeks ago, message: Merge branch 'main' of https://github.com/vromanuel/302-project
af86b64 was Manny, 5 weeks ago, message: Merge branch 'main' of https://github.com/vromanuel/302-project
cfef4e1 was Manny, 5 weeks ago, message: legit
6325ebb was Tejasri303, 5 weeks ago, message: added more comments
3ac1422 was Kimiya-HDZ, 5 weeks ago, message: adding second comment
e3753e5 was Kimiya-HDZ, 5 weeks ago, message: adding second comment
58e415a was Tejasri303, 5 weeks ago, message: Added a comment
9534b74 was Tejasri303, 5 weeks ago, message: Add a comment
1ab77b9 was Kimiya-HDZ, 5 weeks ago, message: Merge pull request #6 from Kimiya-HDZ/main
1601c4f was Kimiya-HDZ, 5 weeks ago, message: creating quotes file
a6da524 was Kimiya-HDZ, 5 weeks ago, message: added new comment
2fdc03d was Kimiya-HDZ, 5 weeks ago, message: Merge pull request #5 from Kimiya-HDZ/quotes
a176eb9 was Kimiya-HDZ, 5 weeks ago, message: adding comment
55f3f29 was Manny, 5 weeks ago, message: Merge branch 'manny-changes'
23ae293 was Manny, 5 weeks ago, message: add comment
c683b00 was Manny, 5 weeks ago, message: dsfasdf
ea5716d was Manny, 5 weeks ago, message: Merge branch 'manny-changes'
b937b40 was Manny, 5 weeks ago, message: Update HelloApplication.java
9094187 was JK76761, 6 weeks ago, message: Merge branch 'main' of https://github.com/JK76761/302-project
a1fbc13 was JK76761, 6 weeks ago, message: josh first commit
d1bfb04 was tariqdaly2708, 6 weeks ago, message: test running code 2
70a4a0a was tariqdaly2708, 6 weeks ago, message: FIRST TEST RUNNING CODE
01c374c was tariqdaly2708, 6 weeks ago, message: FIRST TEST RUNNING CODE
0eeed3c was tariqdaly2708, 6 weeks ago, message: Create workspace.xml
361d454 was Kimiya-HDZ, 6 weeks ago, message: Merge pull request #4 from Kimiya-HDZ/kimiya-branch
c4fc95c was Kimiya-HDZ, 6 weeks ago, message: adding a new line
5db44ae was Manny, 6 weeks ago, message: changed some text
2458377 was Manny, 6 weeks ago, message: Update HelloApplication.java
b87070b was Manny, 6 weeks ago, message: Adding stuff to the gui
4e9704c was Manny, 6 weeks ago, message: Merge branch 'manny-changes'
c91b6d8 was Manny, 6 weeks ago, message: yeye
de2b903 was Manny, 6 weeks ago, message: Merge branch 'manny-changes'
0a00a9c was Manny, 6 weeks ago, message: ye
5f4917d was Manny, 6 weeks ago, message: Merge branch 'manny-changes'
a8d2ae7 was Manny, 6 weeks ago, message: started on UI!!
d92fe1e was vromanuel, 7 weeks ago, message: Create README.md
f6c91e7 was vromanuel, 7 weeks ago, message: Create hello.readme
ca018de was vromanuel, 7 weeks ago, message: Merge pull request #3 from Kimiya-HDZ/main
63501a9 was vromanuel, 7 weeks ago, message: Merge branch 'main' into main
089f92a was vromanuel, 7 weeks ago, message: Merge pull request #2 from Tejasri303/main
4e6be0c was Tejasri303, 7 weeks ago, message: saved changes
8f5f393 was Kimiya-HDZ, 7 weeks ago, message: second change
5ba9577 was vromanuel, 7 weeks ago, message: Merge pull request #1 from Kimiya-HDZ/kimya
f5bbae7 was Kimiya-HDZ, 7 weeks ago, message: made some changes
8b08aa5 was tariqdaly2708, 7 weeks ago, message: tester
941f173 was Manny, 7 weeks ago, message: creating test.txt
